title,year,genre,status,rating
The Shawshank Redemption,1994,Drama,watched,9
Inception,2010,Sci-Fi,watched,8
The Grand Budapest Hotel,2014,Comedy,watched,8
Dune: Part Two,2024,Sci-Fi,watchlist,
Parasite,2019,Thriller,watched,10
Cleo from 5 to 7,1962,Drama,watchlist,
Amélie,2001,Romance,watched,9
Fast & Furious,2009,Action,watchlist,
10 Things I Hate About You,1999,Romance,watchlist,
My Fault,2023,Drama,watchlist,
Ben 10: Alien Swarm,2009,Action,watchlist,
Love Me Love Me,2026,Romance,watchlist,
